pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,10210339284703149,1918601078357405_187366065140000,0,0,0,0,0,3
nytimes,1617013844987655,1919439628273550_1919502951600551,0,0,0,0,3,0
nytimes,367883216967407,1919030691647777_1919099264974253,2,1,0,0,0,0
nytimes,1896663537016767,1920170831533763_1920659434818236,0,0,0,0,3,0
nytimes,10154965380341918,1919847421566104_1919852984898881,0,3,0,0,0,0
nytimes,1496224867119855,1919520494932130_1919632294920950,0,0,0,0,3,0
nytimes,10214463922097653,1918679185016261_163402440908648,0,0,0,0,3,0
nytimes,1550774394982680,1918680988349414_1918747745009405,0,0,0,0,3,0
nytimes,593434797668972,1920170831533763_1920175051533341,0,2,0,0,1,0
nytimes,10207716793357856,1918680988349414_1918688321682014,0,3,0,0,0,0
nytimes,10154926695682747,1918679185016261_1722076344517420,0,1,0,1,1,0
nytimes,141815956557258,10151310132129999_133307527308980,2,1,0,0,0,0
nytimes,10207931620966718,1919446624939517_1921433054740874,0,0,0,0,3,0
nytimes,1708516235859811,1918601078357405_348161765625474,0,0,0,0,3,0
nytimes,1125309947600086,1918601078357405_1918658178351695,2,0,0,0,1,0
nytimes,10210462806871290,1918702555013924_1919406818276831,0,0,0,0,3,0
nytimes,1795338457162635,1919439628273550_1919731511577695,0,0,0,0,3,0
nytimes,1805569396138981,184073478804176_133830590586326,0,0,0,0,3,0
nytimes,10203815482103042,1919439628273550_1920710711479775,0,2,0,0,1,0
nytimes,10209898182602387,1919439628273550_1919597808257732,0,0,0,0,3,0
nytimes,10213933869730940,10151310132129999_10151310179809999,3,0,0,0,0,0
nytimes,1453980541305711,1918960548321458_1918996074984572,3,0,0,0,0,0
nytimes,10155003196421417,184073478804176_184127962132061,1,0,0,0,2,0
nytimes,1870464592978745,10151311025844999_152602475326306,0,3,1,0,0,0
nytimes,10212328996798910,1919520494932130_1919585508258962,0,0,0,0,3,0
nytimes,10210643001655911,1919030691647777_1919101908307322,1,0,0,0,2,0
nytimes,5281959998,5281959998_1918268465057333,3,0,0,0,0,0
nytimes,1968723606706164,1919030691647777_1919108131640033,0,1,0,0,2,0
nytimes,10213040245455375,1918679185016261_169076723670305,0,1,1,0,2,0
nytimes,10210011276180335,10151308886239999_10151308953994999,0,0,0,0,3,0
nytimes,10214440562711049,1920170831533763_1920314568186056,0,0,0,0,3,0
nytimes,10155832754853914,1919439628273550_1919686494915530,1,3,0,0,0,0
nytimes,1753262808018498,1919520494932130_1919585931592253,0,0,0,0,3,0
nytimes,10214598331896068,1919163081634538_1919177881633058,2,1,0,0,0,0
nytimes,10208606755520234,1918601078357405_1918669735017206,0,0,0,0,3,0
nytimes,10155809142662277,10151308886239999_10151308908859999,0,1,0,0,2,0
nytimes,10155790482461672,1918731105011069_1918831555001024,1,1,0,0,1,0
nytimes,1604749949581051,1918268465057333_1918992174984962,3,0,0,0,0,0
nytimes,1378691645583347,1920170831533763_1920992008118312,0,1,1,0,2,0
nytimes,10156286019260730,1919520494932130_1919588324925347,0,1,0,0,2,0
nytimes,10213620600646256,1919163081634538_1919192774964902,0,0,0,0,0,3
nytimes,10154911631486198,1918679185016261_175816492979681,1,1,0,1,0,0
nytimes,1453980541305711,1920170831533763_1920176621533184,3,0,0,0,0,0
nytimes,1896042920723619,132791174027617_132826814024053,0,3,0,0,0,0
nytimes,10214812068881180,1919030691647777_1919248494959330,0,0,0,0,3,0
nytimes,361784267592347,1920926231458223_1921008171450029,0,0,0,0,3,0
nytimes,10213073563889245,1918731105011069_1921049104779269,0,3,0,0,0,0
nytimes,10155728303811081,1919439628273550_1919567168260796,1,2,0,0,0,0
nytimes,1895032920511122,1918268465057333_1918971581653688,3,0,0,0,0,0
nytimes,10212774177343412,1918601078357405_1918712071679639,0,0,0,0,3,0
nytimes,10210603365579600,10151309605854999_10151309610154999,1,0,0,0,2,0
nytimes,1999777306936240,1919194918298021_1919298214954358,1,2,0,0,1,0
nytimes,1703999262952721,1919520494932130_1919606528256860,0,0,0,0,3,0
nytimes,10106483510105810,1919163081634538_1919226644961515,0,2,0,0,1,0
nytimes,10210137250449567,1919850988232414_1919887764895403,0,0,0,0,3,0
nytimes,1687404687949988,1919030691647777_1919096261641220,3,0,0,0,0,0
nytimes,10212503565497378,1919194918298021_1919248458292667,0,0,0,1,2,0
nytimes,10212298271429118,1919030691647777_1919099671640879,3,1,0,0,0,0
nytimes,10155838230183594,1919520494932130_1919587518258761,0,0,0,0,3,0
nytimes,361048620983499,1919163081634538_1919173701633476,0,0,0,0,3,0
nytimes,1517168031676484,1918601078357405_1559135054107719,0,0,0,0,3,0
nytimes,1680682758618366,132791174027617_132836870689714,0,0,1,0,2,0
nytimes,10210032410395021,184073478804176_184136575464533,0,2,0,0,1,0
nytimes,1571595686236775,1919847421566104_1919875408229972,0,0,0,0,3,0
nytimes,10156689601108989,1919520494932130_1919567528260760,2,1,0,0,0,0
nytimes,527995174214395,184073478804176_184127508798773,0,0,0,0,3,0
nytimes,10214955691908960,1919850988232414_1920121511538695,0,0,0,0,3,0
nytimes,376030429520417,1918601078357405_1918709185013261,0,0,0,0,0,3
nytimes,10213751603766414,1918731105011069_1918790108338502,0,1,0,0,2,0
nytimes,10212731166047942,1919520494932130_1919844401566406,0,2,0,0,1,0
nytimes,10214005134500293,1919850988232414_1919959134888266,0,0,0,0,3,0
nytimes,10155777678483185,1918679185016261_1918842984999881,0,0,0,0,3,0
nytimes,2087661041457743,10151310132129999_121185295248840,0,0,0,0,3,0
nytimes,10154899295561892,1918268465057333_1918304338387079,1,0,0,0,2,0
nytimes,1444313135682651,1919850988232414_1919879454896234,0,0,0,0,3,0
nytimes,808466682694966,1918268465057333_1918625461688300,1,1,0,0,1,0
nytimes,1475307635884849,1918268465057333_1918305248386988,0,0,0,0,3,0
nytimes,10155006341288193,1919194918298021_1919209451629901,0,1,0,0,2,0
nytimes,1824143487614513,1919439628273550_1919470918270421,0,1,0,0,2,0
nytimes,10212405781552387,1919439628273550_1919689844915195,2,3,1,0,0,0
nytimes,1764081480332045,1919163081634538_1919425194941660,0,0,0,0,3,0
nytimes,10155994884077079,1920926231458223_1921305734753606,1,0,0,0,2,0
nytimes,10212194448314453,1919520494932130_1919638494920330,3,0,0,0,0,0
nytimes,1260375127401221,1918679185016261_496677244030974,0,0,0,0,3,0
nytimes,1460596200655458,1918268465057333_1918820365002143,0,0,0,0,3,0
nytimes,10210726754950417,1919163081634538_1919190174965162,1,0,0,0,2,0
nytimes,10156795588707619,1919446624939517_1919740364910143,0,0,1,0,2,0
nytimes,10155938683011454,1919163081634538_1919205534963626,0,0,0,0,3,0
nytimes,10155940619158783,1919030691647777_1919369241613922,1,0,0,0,2,0
nytimes,10210554204474839,10151308886239999_10151311465694999,0,0,0,2,1,0
nytimes,907873409388347,1918268465057333_1918312508386262,0,0,0,0,0,3
nytimes,10214610351002399,1919163081634538_1919172591633587,0,0,0,0,3,0
nytimes,346042125857201,1919439628273550_1919719384912241,0,2,0,0,1,0
nytimes,10155523120170325,1918601078357405_1918680528349460,0,0,0,0,3,0
nytimes,10155495293040935,1919163081634538_1919183044965875,0,0,0,0,3,0
nytimes,10155633353221397,1918680988349414_1918691488348364,0,0,0,0,3,0
nytimes,1793714407345907,1919439628273550_1919943588223154,0,0,0,0,3,0
nytimes,1489492404420468,1919163081634538_1919192618298251,3,0,0,0,0,0
nytimes,1745221699105090,1919439628273550_1919592748258238,1,1,0,1,1,0
nytimes,10213530615636105,1918679185016261_142046829741489,2,0,0,0,1,0
